
37,88.,183.
34,68.,159.
18,68.,170.
21,61.,164.
23,50.,165.
25,80.,181.
18,68.,168.
18,80.,177.
21,74.,175.
19,75.,175.
22,66.,167.
19,64.,161.
19,70.,176.
20,71.,175.
19,61.,180.
21,75.,175.
20,65.,177.
17,70.,168.
21,82.,184.
24,95.,174.
24,66.,172.
20,63.,184.
21,60.,164.
18,67.,177.
25,63.,172.
21,82.,184.
17,58.,163.
22,85.,179.
19,75.,174.
21,93.,191.
27,66.,172.
20,54.,165.
19,75.,175.
20,60.,177.
20,88.,163.
18,110.,183.
25,127.,185.
18,68.5,173.
21,55.5,172.
25,47.5,160.
19,78.5,180.
19,51.5,166.
20,72.1,172.
19,83.4,181.
19,57.,172.
21,83.,180.
33,86.,180.
26,64.,173.
25,83.,180.
20,70.,180.
20,68.,168.
19,58.,167.
22,63.,179.
18,70.,175.
23,98.,178.
19,97.,182.
21,60.,177.
19,60.,170.
21,90.,183.
18,67.,167.
21,63.,179.
19,62.,172.
37,72.,183.
20,82.,181.
20,58.,171.
19,65.,176.
20,52.,160.
22,84.,182.
20,67.,169.
18,62.,164.
22,80.,185.
20,82.,181.
